Field_subtype,rpd,Source,all fileds,Sources,like_fields,
Ownerdetails,,kw_fsbo_X_C,EmailTwo,kw_fsbo_X_C,Augmented Email 1_2,
Ownerdetails,,kw_fsbo_X_C,EmailThree,kw_fsbo_X_C,Augmented Email 1_3,
MLS_agentdetals,xx,mls_x_o,Expired Date,"mls_x_o,imapp_X_C,kw_fsbo_X_C","Date Added,Expiration Date",
PropertyDetails,xx,imapp_tax,Exterior Wall,imapp_tax,,
PropertyDetails,xx,imapp_tax,Exterior Wall Cover,imapp_tax,,
PropertyDetails,xx,imapp_tax,Extra Feature Value,imapp_tax,,
litigationdetails ,xx,imapp_foreclose,File Date,imapp_foreclose,,
litigationdetails ,xx,imapp_foreclose,Final Bid,imapp_foreclose,Winning Bid,y
litigationdetails ,xx,Real_foreclose_pre_running,Final Judgment,Real_foreclose_pre_running,,y
PropertyDetails,xx,imapp_tax,Fireplace - Y/N,imapp_tax,,
PropertyDetails,xx,imapp_tax,Fireplace Count,imapp_tax,,
PropertyDetails,xx,imapp_tax,Fireplace Flag,imapp_tax,,
tracking,xx,kw_fsbo_X_C,First Call Date,kw_fsbo_X_C,,
Ownerdetails,xx,kw_fsbo_X_C,First Name,kw_fsbo_X_C,Owner First Name,
Ownerdetails,xx,kw_fsbo_X_C,First Name 2,kw_fsbo_X_C,,
PropertyDetails,xx,imapp_tax,Floor (condo only),imapp_tax,,
PropertyDetails,xx,imapp_tax,Flooring,imapp_tax,,
tracking,xx,kw_fsbo_X_C,Folder,kw_fsbo_X_C,,
PropertyDetails,x,RPD,FullMailingAddress,RPD,,
PropertyDetails,x,RPD,Furnished,RPD,,
PropertyDetails,xx,mls_x_o,Garage (Y/N),"mls_x_o,imapp_X_C,imapp_tax",Garage Flag,
PropertyDetails,xx,imapp_tax,Garage Size (sf),imapp_tax,,
PropertyDetails,xx,imapp_tax,Garage Type,imapp_tax,,
PropertyDetails,x,RPD,GarageSpaces,RPD,#Garage Spaces,
PropertyDetails,x,RPD,GatedCommunityYN,RPD,,
a_system,x,RPD,geocodeTried,RPD,,
assesordetails,xx,imapp_tax,Grantor,imapp_tax,,
assesordetails,xx,imapp_tax,"Grantor, Sale 1",imapp_tax,,
assesordetails,xx,imapp_tax,"Grantor, Sale 2",imapp_tax,,y
PropertyDetails,xx,mls_x_o,Gross Operating Income,"mls_x_o,imapp_X_C",,
PropertyDetails,xx,imapp_foreclose,Has Fireplace,imapp_foreclose,,
PropertyDetails,xx,imapp_foreclose,Has Garage,imapp_foreclose,,
PropertyDetails,xx,imapp_foreclose,Has Pool,imapp_foreclose,,
PropertyDetails,xx,imapp_foreclose,Has Spa,imapp_foreclose,,
a_system,x,RPD,headline,RPD,,
PropertyDetails,xx,imapp_tax,Heat Fuel,imapp_tax,,
PropertyDetails,xx,imapp_tax,Heat Type,imapp_tax,,
PropertyDetails,xx,imapp_tax,Heating,imapp_tax,,
PropertyDetails,xx,imapp_tax,Heating Fuel,imapp_tax,,
PropertyDetails,xx,mls_x_o,High School,"mls_x_o,imapp_X_C",,
assesordetails,xx,imapp_foreclose,Homesteaded Property,"imapp_foreclose,imapp_tax","Homesteaded,Homestead",
tracking,xx,kw_fsbo_X_C,Hot Prospect Points,kw_fsbo_X_C,,
a_system,x,RPD,id,RPD,,
MLS_agentdetals,x,RPD,IDXOptInYN InternetYN,RPD,,
a_system,x,RPD,image_downloaded,RPD,,
a_system,x,RPD,image_downloaded_time,RPD,,
a_system,x,RPD,image_tried,RPD,,
a_system,x,RPD,image_update_needed,RPD,,y
a_system,x,RPD,images_urls,RPD,,
assesordetails,xx,imapp_tax,In Opportunity Zone (Y/N),imapp_tax,,
PropertyDetails,xx,imapp_tax,Interior Wall,imapp_tax,,y
a_system,x,RPD,internalID,RPD,,
MLS_agentdetals,x,RPD,InternetEntireListingDisplayYN,RPD,,
litigationdetails ,xx,imapp_foreclose,Judgement Amount,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Judgement Date,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Judgement Equity,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Judgement Sale Date,imapp_foreclose,Sale Date,y
litigationdetails ,xx,imapp_foreclose,Judgement Sale Result,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,AuctionSaleDate,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,TaxdeedSaleDate,imapp_foreclose,,y
assesordetails,xx,imapp_tax,Just Land Value,imapp_tax,,
assesordetails,xx,imapp_tax,Just Market Value,imapp_tax,,
assesordetails,xx,imapp_tax,Just Value,imapp_tax,,
PropertyDetails,xx,imapp_foreclose,Land Use,imapp_foreclose,,
PropertyDetails,xx,imapp_tax,Land Use Code,imapp_tax,,
PropertyDetails,xx,imapp_tax,Land Use Description,imapp_tax,,
assesordetails,xx,imapp_tax,Land Value (Market),imapp_tax,,
a_system,x,RPD,LandingPageUrl,RPD,,
Ownerdetails,xx,kw_fsbo_X_C,Last Name,kw_fsbo_X_C,Owner Last Name,
Ownerdetails,xx,kw_fsbo_X_C,Last Name 2,kw_fsbo_X_C,,
assesordetails,xx,imapp_tax,Last Sale - OR Book,imapp_tax,,
assesordetails,xx,imapp_foreclose,Last Sale Amount,imapp_foreclose,,
assesordetails,xx,imapp_foreclose,Last Sale Date,imapp_foreclose,,
assesordetails,xx,mls_x_o,Last Sale Date (Tax Records),mls_x_o,,y
assesordetails,xx,imapp_tax,Last Sale Price,imapp_tax,,y
a_system,x,RPD,last_image_updated,RPD,,
PropertyDetails,x,RPD,Latitude,"mls_x_o,RPD",y,
tracking,xx,kw_fsbo_X_C,Lead Source,kw_fsbo_X_C,,
MLS_agentdetals,x,RPD,LeaseRenewalCompensation,RPD,,
PropertyDetails,xx,imapp_tax,Legal Lot,imapp_tax,,
PropertyDetails,xx,imapp_tax,Legal Unit #,imapp_tax,,
PropertyDetails,x,RPD,legalDescription,imapp_tax,Legal Description,
litigationdetails ,xx,imapp_foreclose,Lien 1 Book #,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Lien 1 Page #,imapp_foreclose,,y
litigationdetails ,xx,imapp_foreclose,Lien 1 Type,imapp_foreclose,,y
